54	2.16715	36005
19	3.71007	18055
21	3.8498	19117
77	3.75546	50110
29	3.97802	24290
22	2.53709	16893
13	2.5555	11824
79	2.61269	49307
33	2.15726	22848
15	1.3571	10533
8	1.80921	7982
16	3.11695	14945
58	2.97714	38568
16	2.23179	13094
6	1.13894	5681
7	1.27918	6214
79	2.87007	50118
24	3.91716	21458
9	1.69641	8060
35	2.31057	26977
38	3.64536	32550
84	3.33436	59988
21	1.31296	15747
68	3.611	50366
19	3.81911	20046
86	3.14027	59047
13	2.85282	15040
24	3.48227	22922
8	1.53775	8922
85	3.69063	55863
22	1.03236	13954
10	1.64342	9127
9	1.75158	9006
48	3.06433	34732
26	2.18644	19077
52	3.92647	37467
13	2.12465	11083
23	2.47081	20135
17	3.50628	17130
19	3.46193	19827
71	3.20738	46074
12	2.4493	11446
11	2.41824	14340
128	3.20191	86209
12	2.37917	13505
20	3.57265	18884
22	2.35426	17431
90	2.33415	59826
22	3.05495	18079
44	2.64738	29924
7	1.35422	6071
114	1.16457	65247
79	3.40994	50848
28	2.76706	20941
10	1.84582	8524
15	2.68042	13916
21	2.75656	17799
16	2.79398	14697
150	3.97412	100530
52	2.4185	37430
84	3.40122	58618
30	1.75848	22949
13	2.80584	14543
12	2.54432	13303
22	1.06171	16535
8	1.25332	7570
14	3.05408	16530
145	3.26111	94128
99	2.8629	66445
14	2.81684	14820
10	2.16854	12049
7	1.31825	6718
17	2.99165	17238
15	2.48105	14945
62	3.51598	45219
73	3.83485	52745
21	2.19327	18830
5	1.04375	4960
16	2.39748	15098
80	2.98598	55322
12	2.66411	13608
30	1.92588	24193
48	3.59688	36412
10	1.96112	9678
28	3.50675	24962
61	3.22615	44381
52	2.44832	36569
102	3.89249	70868
239	3.83334	152636
15	3.458	17261
12	2.2921	12508
26	3.49053	24800
8	1.48116	7587
7	1.18233	7656
14	2.83383	15482
21	1.15737	16289
119	1.52976	72166
11	2.38457	10821
68	3.62788	46059
17	3.55882	16604
19	2.39253	15674
11	1.83287	9406
77	3.58663	52537
23	3.01607	19399
11	2.29011	10930
25	3.2134	21855
240	3.95323	145722
10	1.48325	8640
49	3.04196	34358
30	3.70361	25264
8	1.51649	7449
12	1.9885	11551
9	2.04671	12753
12	2.59872	18998
17	3.68988	18617
19	3.60403	18904
18	3.20925	16920
109	3.52861	69171
154	3.40949	92145
17	3.82953	16922
19	3.66345	18937
17	3.73406	17650
24	3.82591	21502
18	1.07627	11928
11	2.37722	10951
13	2.68404	12785
162	3.54551	107916
11	1.8849	10415
15	1.44374	11609
44	2.77682	32829
15	3.35064	16138
52	2.93054	38482
106	3.21704	70906
18	2.70073	18371
19	1.12061	12154
168	3.61235	101330
19	3.89133	18647
19	3.24189	16936
25	3.99049	25221
29	2.6846	24899
45	3.73126	37264
12	2.70855	14581
62	2.37305	39954
91	3.86745	58227
16	1.87551	12570
25	1.92813	17902
9	1.06502	6823
84	3.48666	55635
22	3.9506	20740
175	1.19893	99487
28	2.3438	20318
13	1.54117	9896
15	3.08554	14585
7	1.28277	6461
14	3.22948	15894
20	1.32584	14288
65	3.52015	44497
41	1.88796	26519
44	2.98801	30179
10	1.8151	8681
53	1.68418	32323
25	1.35749	15995
57	2.64664	36923
10	1.80144	8607
17	3.03557	15650
17	3.09656	16317
132	1.73058	77008
140	3.09737	83333
117	3.19926	71221
30	3.78304	24287
89	2.08186	53048
132	2.81842	78569
12	2.61163	11328
11	2.28997	11125
22	2.54253	18237
8	1.01864	6234
10	2.10866	10580
20	2.68942	20134
24	3.00727	19388
18	2.67529	15456
38	3.64274	28997
12	2.59229	11455
6	1.22499	5511
73	2.64908	46915
10	2.25966	9810
51	2.47495	33190
27	3.36998	21514
13	2.93066	12844
11	2.49923	10743
8	1.57513	7433
26	2.59779	20845
25	1.41522	17065
15	2.6786	16146
78	3.30565	54242
22	3.22328	18898
28	3.07555	21537
16	3.10405	14789
8	1.41118	7509
